item,category,cook,status,price_rescaled,verify,cost,dine_price,dine_net,dine_contrib,dine_cm_pct,online_price,markup_pct,zom_net,zom_contrib,zom_cm_pct,swg_net,swg_contrib,swg_cm_pct,onl_contrib_unit_blended,dine_qty,onl_qty,total_qty,dine_contrib_total,onl_contrib_total,total_contrib
Sooji Sev Poori 5 Psc,Poori Wala,Deep-fry,,,,21.29,60.0,57.14,35.85,62.7,,,,,,,,,,59,0,59,2115,0,2115
Chole,Chaat Wala,Deep-fry,,,,21.45,119.0,113.33,91.88,81.1,149.0,25.2,77.16,55.71,37.4,88.39,66.94,44.9,58.29,12,17,29,1103,991,2094
Jalebi Desi Ghee (500 Gms),Mithai,Deep-fry,,yes,,84.75,300.0,285.71,200.96,70.3,350.0,16.7,181.25,96.5,27.6,207.62,122.87,35.1,102.57,0,20,20,0,2051,2051
Mathura Ka Peda (250 Gms),Mithai,Milk-reduce,,yes,,74.94,175.0,166.67,91.73,55.0,242.5,38.6,125.58,50.64,20.9,143.85,68.91,28.4,54.84,0,36,36,0,1974,1974
Dal Fry Rice/Dal Fry Chawal,Rice,Simmer,,,,34.15,129.0,122.86,88.71,72.2,159.0,23.3,82.34,48.19,30.3,94.32,60.17,37.8,50.95,22,0,22,1952,0,1952
Methi Paratha,Parathe,Tawa,,,,16.41,99.0,94.29,77.88,82.6,129.0,30.3,66.8,50.39,39.1,76.52,60.11,46.6,52.63,14,16,30,1090,842,1932
Falhari Aloo Chaat,Chaat Wala,Assembled,,,,11.22,80.0,76.19,64.97,85.3,129.0,61.3,66.8,55.58,43.1,76.52,65.3,50.6,57.82,26,0,26,1689,0,1689
Paneer Paratha Meal,Parathe,Tawa,,,,28.8,,,,,249.0,,128.95,100.15,40.2,147.71,118.91,47.8,104.46,0,16,16,0,1671,1671
Aloo Chaat.,Chaat Wala,Assembled,,,,11.22,73.33,69.84,58.62,83.9,119.0,62.3,61.63,50.41,42.4,70.59,59.37,49.9,52.47,28,0,28,1641,0,1641
Dal Tadka Rice/Dal Tadka Chawal,Rice,Simmer,,,,41.19,149.0,141.9,100.71,71.0,179.0,20.1,92.7,51.51,28.8,106.18,64.99,36.3,54.61,16,0,16,1611,0,1611
Kala Jamun (500 Gms),Mithai,Deep-fry,,,,12.22,,,,,511.0,,264.63,252.41,49.4,303.13,290.91,56.9,261.26,0,6,6,0,1568,1568
Moong Dal Halwa (desi Ghee) (250 Gms),Halwa,Milk-reduce,,yes,,40.23,225.0,214.29,174.06,81.2,281.0,24.9,145.52,105.29,37.5,166.69,126.46,45.0,110.16,0,13,13,0,1432,1432
Atta Spdp -5 Pcs,Poori Wala,Assembled,,,,13.89,70.0,66.67,52.78,79.2,,,,,,,,,,27,0,27,1425,0,1425
