Dish / डिश,Ingredient / सामग्री,Qty per batch / एक बैच में मात्रा,Unit (kg/g/L/ml/pc),Batch makes / एक बैच से बनता है (plates/pcs/kg),Notes / नोट्स
Kachori Sabji / कचौरी सब्ज़ी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Bedai Sabji / बेड़ई सब्ज़ी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Dal Kachori / दाल कचौरी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Chole Bhature / छोले भटूरे,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Samosa / समोसा,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Aloo Tikki / आलू टिक्की,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Dahi Bhalla / दही भल्ला,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sooji Pani Puri / सूजी पानी पूरी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Kulhad Lassi / कुल्हड़ लस्सी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Peda / पेड़ा,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Kesar Rabdi / केसर रबड़ी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rasmalai / रसमलाई,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Jalebi / जलेबी,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Moong Dal Halwa / मूंग दाल हलवा,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Bread Pakoda / ब्रेड पकौड़ा,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Aligarh ke Barule / अलीगढ़ के बरुले,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
